product_name,target,dataset_type
Обои бумажные Rasch Kids&Teens III розовые 0.53 м 210934,1,train
Обои флизелиновые Elysium Танго бежевые 1.06 м Е15301,0,train
Обои флизелиновые Rasch Florentine II оранжевые 0.53 м 448573,0,train
Обои бумажные Rasch Kids&Teens III розовые 0.53 м 210934,1,train
Обои бумажные Брянск Яблочный к-4 0.53 м Яблочный к-4 Х 24 бумаж.Обои Брянск,1,train
Обои виниловые Плитка бежевые 0.53 м 0217-2,0,train
"Обои флизелиновые Belvinil Либерти розовые 1.06 м Либерти 0206-61 Х 9 флиз Обои ""Belvinil""",0,train
Обои виниловые Elysium Санрайз бежевые 0.53 м 902900,0,train
Обои флизелиновые Inspire Anna Wave серые 1.06 м 956948,0,train
"Обои флизелиновые Belvinil Ришелье бежевые 1.06 м Ришелье 0153-51 Х 9 флиз Обои ""Belvinil""",0,train
Обои флизелиновые Палитра Soft cage серые 0.53 м N1000-41,0,train
Обои флизелиновые Палитра Floris коричневые 0.53 м PL51016-58,0,train
Обои флизелиновые Home Color Fresco бежевые HC31006-22 1.06 м,0,train
Обои бумажные Московская обойная фабрика Цветущий миндаль зеленые 231412-7 0.53 м,1,train
Обои флизелиновые Elysium Танго бежевые 1.06 м Е15301,0,train
Обои флизелиновые Belvinil Игрушки зелёные 1.06 м 0260-72х9,0,train
Обои флизелиновые Belvinil Игрушки жёлтые 1.06 м 0260-52х9,0,train
Обои бумажные Esprit Home Esprit 12 белые 0.53 м 327921,1,train
Обои бумажные Волны розовые 0.53 м 227-03 Д13,1,train
Обои флизелиновые Home Color Delo бежевые 1.06 м HC31053-12,0,train
Обои флизелиновые Rasch Poetry 2 бежевые 545449 0.53 м,0,train
Обои флизелиновые Rasch Diamond Dust 2016 голубые 1.06 м 903201,0,train
Обои флизелиновые Rasch Chatelaine III зеленые 968538 1.06 м,0,train
Обои бумажные Rasch Bambino XVIII серые 0.53 м 247114,1,train
Обои флизелиновые Rasch Poetry 2 бежевые 542738 0.53 м,0,train
Обои флизелиновые Rasch African Queen серые 0.53 м 422405,0,train
Обои флизелиновые A.S. Creation Metropolitan Stories белые 0.53 м 368961,0,train
Обои бумажные Erismann Lotta 2 0.53 м 7357-09,1,train
Обои виниловые Aura Texture World бежевые 0.53 м 192301,0,train
Обои на бумажной основе для кухни 0.53х10 м цвет бежевый М 586 305 00,0,train
Обои флизелиновые Rasch Florentine 2017 бежевые 0.53 м 448566,0,train
Обои бумажные Московская Обойная Фабрика Вальс-Бостон зелёные 0.53 м 237112-7,1,train
Обои флизелиновые Rasch Easy Passion бежевые 0.53 м 731545,0,train
Обои флизелиновые Vog Collection Ояс серые 1.06 м 50004-41,0,train
Обои флизелиновые Elysium Котильон белые 1.06 м Е45101,0,train
Обои флизелиновые Elysium Сен-Луи серые 1.06 м Е45306,0,train
Обои виниловые Aura Kitchen Story II бежевые 0.53 м KE29937,0,train
Обои флизелиновые Elysium Марта бежевые 1.06 м Е35502,0,train
Обои флизелиновые Belvinil Игрушки жёлтые 1.06 м 0260-52х9,0,train
Обои флизелиновые А.С. И Палитра Салют серые 1.06 м 35004-21,0,train
Обои флизелиновые Rasch Poetry бежевые 0.53 м 424034,0,train
Обои флизелиновые A.S. Creation «Кабаре» бордовые 1.06 м 1337-42,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 серые 0.53 м 724202,0,train
Обои бумажные York Opal Essence коричневые 0.53 м JC5915,1,train
Обои флизелиновые Палитра  «Полосы» серые 0.53х10 м PL51006-41,0,train
Обои флизелиновые Rasch Seduction бежевые 0.53 м 796667,0,train
Обои виниловые Aura Little England II бежевые 0.53 м PR33869,0,train
Обои бумажные Rasch Kids&Teens III синие 0.53 м 210910,1,train
Обои бумажные гофрированные Кирпичики 0.53х10 м цвет тёмно-серый 19,1,train
"Обои флизелиновые Belvinil Либерти розовые 1.06 м Либерти 0206-61 Х 9 флиз Обои ""Belvinil""",0,train
Обои флизелиновые Alteliero Duna жёлтые 1.06 м AT38330-13,0,train
Обои бумажные Незабудки 0.53х10.05 м цвет голубой,1,train
Обои флизелиновые Rasch Bond Street 2015 серые 0.53 м 726251,0,train
Обои флизелиновые Rasch Trianon 2015 бежевые 0.53 м 513493,0,train
Обои виниловые Aura Kitchen Story II бежевые 0.53 м KE29901,0,train
Обои флизелиновые Мир Авангард бежевые 1.06 м 11-216-03,0,train
Обои бумажные Моф EcoStyle серые 0.53 м 332812-1,1,train
Обои виниловые Aura Kitchen Story II бежевые 0.53 м KE29901,0,train
Обои флизелиновые Rasch Easy Passion бежевые 0.53 м 731507,0,train
Обои флизелиновые Rasch Maximum X коричневые 1.06 м 924633,0,train
Обои флизелиновые Belvinil Завитки бежевые 1.06 м 0100-63 (11СБ3),0,train
Обои флизелиновые Rasch Florentine 2017 бежевые 0.53 м 448566,0,train
Обои бумажные для детской 0.53х10 м цветные бабочки цвет бирюзовый Ra 216714,1,train
Обои виниловые Willberry Кухня белые 0.53 м 8490,0,train
"Обои на бумажной основе EcoStyle «Астра 5», 53x10.05 м, цвет серый",1,train
Обои бумажные York Opal Essence серые 0.53 м JC6032,1,train
Обои флизелиновые Vernissage Tornado синие 1.06 м 167101-82,0,train
Обои флизелиновые Rasch African Queen коричневые 0.53 м 422757,0,train
Обои флизелиновые Rasch Easy passion бежевые 0.53 м 731514,0,train
